ORG	GRAM	ORGANISM	ORG_CLEAN	STATUS	COMMON	ORG_GROUP	SUB_GROUP	GENUS	GENUS_CODE	SCT_CODE	SCT_TEXT	EXCLUDE
cig	a	Clostridium irregularis	Clostridium irregularis	C		SPORE		Clostridium	CLO	40423006	Clostridium irregulare	FALSE
abe	a	Actinomyces bernardiae	Actinomyces bernardiae	C		NOSPORE		Actinomyces	ACT	40560008	Actinomyces	FALSE
apk	+	Actinomyces pyogenes-like bacteria	Actinomyces pyogenes-like bacteria	C		NOSPORE		Actinomyces	ACT	40560008	Actinomyces	FALSE
act	a	Actinomyces sp.	Actinomyces sp.	C		NOSPORE		Actinomyces	ACT	40560008	Actinomyces	FALSE
bcr	a	Bifidobacterium coryneforme	Bifidobacterium coryneforme	C		NOSPORE		Bifidobacterium	BIF	40574001	Bifidobacterium coryneforme	FALSE
cco	-	Campylobacter coli	Campylobacter coli	C	X	GNCB		Campylobacter	CAM	40614002	Campylobacter coli	FALSE
mur	m	Mycobacterium ulcerans	Mycobacterium ulcerans	C		MYCO		Mycobacterium	MYC	40713003	Mycobacterium ulcerans	FALSE
heq	-	Haemophilus equigenitalis	Haemophilus equigenitalis	O		check		Taylorella	TAY	40882009	Taylorella equigenitalis	FALSE
kox	-	Klebsiella oxytoca	Klebsiella oxytoca	C		EBC		Klebsiella	KL-	40886007	Klebsiella oxytoca	FALSE
pps	a	Peptococcus saccharolyticus	Peptococcus saccharolyticus	O		CatPos		Staphylococcus	STA	41103009	Staphylococcus saccharolyticus	FALSE
nig	f	Nigrospora sp.	Nigrospora sp.	C		check		Nigrospora	NIG	41278006	Nigrospora	FALSE
afs	f	Aspergillus fischerianus	Aspergillus fischerianus	C		FUNGUS		Aspergillus	ASP	41287002	Aspergillus fischeri	FALSE
mou	m	Mycobacterium obuense	Mycobacterium obuense	C		MYCO		Mycobacterium	MYC	41304005	Mycobacterium obuense	FALSE
cme	w	Chilomastix mesnili	Chilomastix mesnili	C		FLAG		Chilomastix	CHX	41340007	Chilomastix mesnili	FALSE
phi	f	Phialophora sp.	Phialophora sp.	C		FUNGUS		Phialophora	PHI	41402008	Phialophora	FALSE
csg	a	Clostridium sporogenes	Clostridium sporogenes	C		SPORE		Clostridium	CLO	41468005	Clostridium sporogenes	FALSE
dfr	w	Dientamoeba fragilis	Dientamoeba fragilis	C		FLAG		Dientamoeba	DIE	41542000	Dientameba fragilis	FALSE
esb	a	Eubacterium saburreum	Eubacterium saburreum	C		NOSPORE		Eubacterium	EUB	41543005	Eubacterium saburreum	FALSE
acm	+	Actinomadura sp.	Actinomadura sp.	C		GPR		Actinomadura	ACM	41571004	Actinomadura	FALSE
gcn	f	Geotrichum candidum	Geotrichum candidum	C		FUNGUS		Geotrichum	GEO	41625002	Geotrichum candidum	FALSE
ctu	f	Cryptococcus terreus	Cryptococcus terreus	C		FUNGUS		Cryptococcus	CRY	41637000	Cryptococcus terreus	FALSE
bpk	b	Borrelia parkeri	Borrelia parkeri	C		TREP		Borrelia	BOL	41704008	Borrelia parkeri	FALSE
cpp	a	Clostridium paraputrificum	Clostridium paraputrificum	C		SPORE		Clostridium	CLO	41966004	Clostridium paraputrificum	FALSE
cod	f	Conidiobolus sp.	Conidiobolus sp.	C		FUNGUS		Conidiobolus	COD	42178002	Conidiobolus	FALSE
sst	w	Strongyloides stercoralis	Strongyloides stercoralis	C		NEMAT		Strongyloides	STG	42625000	Strongyloides stercoralis	FALSE
cra	a	Clostridium ramosum	Clostridium ramosum	C		SPORE		Clostridium	CLO	42706008	Clostridium ramosum	FALSE
ssn	+	Streptococcus sanguinis	Streptococcus sanguinis	C		SVI		Streptococcus	STR	42985004	Streptococcus sanguis group	FALSE
ss1	+	Streptococcus sanguinis I	Streptococcus sanguinis I	C		SVI		Streptococcus	STR	42985004	Streptococcus sanguis group	FALSE
ss2	+	Streptococcus sanguinis II	Streptococcus sanguinis II	C		SVI		Streptococcus	STR	42985004	Streptococcus sanguis II	FALSE
ss3	+	Streptococcus sanguinis III	Streptococcus sanguinis III	C		SVI		Streptococcus	STR	42985004	Streptococcus sanguis group	FALSE
lse	+	Listeria seeligeri	Listeria seeligeri	C		GPR		Listeria	LIS	43091008	Listeria seeligeri	FALSE
vfl	-	CDC EF-6	CDC EF-6	O		FERM		Vibrio	VI-	43199008	Vibrio fluvialis	FALSE
fbd	f	Filobasidiella sp.	Filobasidiella sp.	C		FUNGUS		Filobasidiella	FBD	43316005	Filobasidiella	FALSE
bav	-	Bordetella avium	Bordetella avium	C		GNCB		Bordetella	BD-	43354005	Bordetella avium	FALSE
tpa	b	Treponema pallidum ss. pallidum	Treponema pallidum ss. pallidum	C		TREP		Treponema	TRE	43454006	Treponema pallidum ss. pallidum	FALSE
dpg	a	Desulfomonas pigra	Desulfomonas pigra	C		AGNR		Desulfomonas	DEM	43560009	Desulfomonas pigra	FALSE
six	a	Selenomonas infelix	Selenomonas infelix	C		AGNR		Selenomonas	SEL	43571005	Selenomonas infelix	FALSE
lec	-	Leclercia sp.	Leclercia sp.	C		EBC		Leclercia	LEC	43590002	Leclercia	FALSE
sha	-	Shigella dysenteriae	Shigella dysenteriae	C		EBC		Shigella	SHI	43612004	Shigella dysenteriae	FALSE
sn1	-	Shigella dysenteriae, not Type 1	Shigella dysenteriae, not Type 1	C		EBC		Shigella	SHI	43612004	Shigella dysenteriae (organism)	FALSE
lce	a	Lactobacillus cellobiosus	Lactobacillus cellobiosus	C		GPR		Lactobacillus	LAC	43690008	Lactobacillus	FALSE
cts	-	Comamonas testosteroni	Comamonas testosteroni	C		NFR		Comamonas	COM	43721005	Comamonas testosteroni	FALSE
aso	-	Aeromonas sobria	Aeromonas sobria	C		FERM		Aeromonas	AER	43731003	Aeromonas sobria	FALSE
sso	+	Streptococcus sobrinus	Streptococcus sobrinus	C		SVI		Streptococcus	STR	43777007	Streptococcus sobrinus	FALSE
szo	+	Streptococcus equi ss. zooepidemicus	Streptococcus equi ss. zooepidemicus	C		BS-		Streptococcus	STR	44106000	Streptococcus equi subspecies zooepidemicus	FALSE
ten	b	Treponema pallidum ss. endemicum	Treponema pallidum ss. endemicum	C		TREP		Treponema	TRE	44106000	Treponema pallidum ss. endemicum	FALSE
san	+	Streptococcus anginosus	Streptococcus anginosus	C		SVI		Streptococcus	STR	44304009	Streptococcus anginosus	FALSE
so2	-	Serratia odorifera 2	Serratia odorifera 2	C		EBC		Serratia	SE-	44305005	Serratia odorifera biogroup 2	FALSE
aph	f	Aphanoascus sp.	Aphanoascus sp.	C		FUNGUS		Aphanoascus	APH	44312001	Aphanoascus	FALSE
egi	w	Entamoeba gingivalis	Entamoeba gingivalis	C		AMEBA		Entamoeba	ENW	44457009	Entamoeba gingivalis	FALSE
hin	-	Haemophilus influenzae	Haemophilus influenzae	C	X	GNCB		Haemophilus	HA-	44470000	Haemophilus influenzae	FALSE
hxt	-	Haemophilus influenzae (not typable)	Haemophilus influenzae (not typable)	C		GNCB		Haemophilus	HA-	44470000	Haemophilus influenzae	FALSE
hxb	-	Haemophilus influenzae (not type b)	Haemophilus influenzae (not type b)	C	X	GNCB		Haemophilus	HA-	44470000	Haemophilus influenzae	FALSE
mya	b	Mycoplasma arginini	Mycoplasma arginini	C		MYCOP		Mycoplasma	MYP	44604001	Mycoplasma arginini	FALSE
ahe	+	Arcanobacterium haemolyticum	Arcanobacterium haemolyticum	C		COF		Arcanobacterium	ARB	44723000	Arcanobacterium haemolyticum	FALSE
mas	m	Mycobacterium asiaticum	Mycobacterium asiaticum	C		MYCO		Mycobacterium	MYC	44760001	Mycobacterium asiaticum	FALSE
bbe	+	Bacillus brevis	Bacillus brevis	C		GPR		Bacillus	BCS	44762009	Bacillus	FALSE
blt	+	Bacillus laterosporus	Bacillus laterosporus	C		GPR		Bacillus	BCS	44762009	Bacillus	FALSE
bpn	+	Bacillus pantothenticus	Bacillus pantothenticus	C		GPR		Bacillus	BCS	44762009	Bacillus	FALSE
sho	+	Staphylococcus hominis	Staphylococcus hominis	O		SCN		Staphylococcus	STA	44827007	Staphylococcus hominis	FALSE
snb	+	Staphylococcus hominis ss. novobiosepticus	Staphylococcus hominis ss. novobiosepticus	C		SCN		Staphylococcus	STA	44827007	Staphylococcus hominis	FALSE
cbv	+	Corynebacterium bovis	Corynebacterium bovis	C		COF		Corynebacterium	COR	44885001	Corynebacterium bovis	FALSE
nco	+	Nocardia coeliaca	Nocardia coeliaca	C		GPR		Nocardia	NOC	45204004	Nocardia coeliaca	FALSE
ppe	-	Proteus penneri	Proteus penneri	C		EBC		Proteus	PR-	45298005	Proteus penneri	FALSE
lri	-	Leminorella richardii	Leminorella richardii	C		EBC		Leminorella	LEM	45354007	Leminorella richardii	FALSE
cvn	f	Candida vini	Candida vini	C		FUNGUS		Candida	CAN	45362004	Candida vini	FALSE
ras	f	Rhinocladiella aquaspersa	Rhinocladiella aquaspersa	C		FUNGUS		Rhinocladiella	RHN	45462000	Rhinocladiella aquaspersa	FALSE
ssw	-	Salmonella Schwarzengrund	Salmonella Schwarzengrund	C		EBC	GRB	Salmonella	SAL	45651006	Salmonella Schwarzengrund	FALSE
sai	+	Staphylococcus auricularis	Staphylococcus auricularis	C		SCN		Staphylococcus	STA	45654003	Staphylococcus auricularis	FALSE
mte	m	Mycobacterium terrae	Mycobacterium terrae	C		MYCO		Mycobacterium	MYC	45662006	Mycobacterium terrae	FALSE
lap	a	Lactobacillus acidophilus	Lactobacillus acidophilus	C		GPR		Lactobacillus	LAC	45707005	Lactobacillus acidophilus	FALSE
che	a	Clostridium haemolyticum	Clostridium haemolyticum	C		SPORE		Clostridium	CLO	45724004	Clostridium haemolyticum	FALSE
scm	w	Schistosoma mansoni	Schistosoma mansoni	C		TREMA		Schistosoma	SCI	45739003	Leucocytozoon mansoni	FALSE
val	-	Vibrio alginolyticus	Vibrio alginolyticus	C		FERM		Vibrio	VI-	45749000	Vibrio alginolyticus	FALSE
ppb	w	Phthirus pubis	Phthirus pubis	C		check		Phthirus	PHT	45776000	Phthirus pubis	FALSE
pvu	-	Proteus vulgaris	Proteus vulgaris	C		EBC		Proteus	PR-	45834001	Proteus vulgaris	FALSE
bds	a	Bacteroides distasonis	Bacteroides distasonis	C		AGNR		Bacteroides	BAC	45863003	Bacteroides distasonis	FALSE
cno	a	Clostridium novyi	Clostridium novyi	C		SPORE		Clostridium	CLO	45891006	Clostridium novyi	FALSE
pgl	-	Pasteurella gallinarum	Pasteurella gallinarum	C		FERM		Pasteurella	PAS	45971000	Pasteurella gallinarum	FALSE
nec	w	Necator sp.	Necator sp.	C		NEMAT		Necator	ENC	46112007	Necator	FALSE
hap	-	Aggregatibacter aphrophilus	Aggregatibacter sp.	C		HAK		Aggregatibacter	AGT	46143000	Haemophilus aphrophilus	FALSE
emo	a	Eubacterium moniliforme	Eubacterium moniliforme	C		NOSPORE		Eubacterium	EUB	46192006	Eubacterium moniliforme	FALSE
pag	-	Pseudomonas alcaligenes	Pseudomonas alcaligenes	C		NFR		Pseudomonas	PS-	46247008	Pseudomonas alcaligenes	FALSE
fso	f	Fusarium solani	Fusarium solani	C		FUNGUS		Fusarium	FUS	46351008	Fusarium solani	FALSE
fcr	f	Fusarium solani var. coeruleum	Fusarium solani var. coeruleum	C		FUNGUS		Fusarium	FUS	46351008	Fusarium solani	FALSE
ais	a	Actinomyces israelii	Actinomyces israelii	C		NOSPORE		Actinomyces	ACT	46369004	Actinomyces israelii	FALSE
asy	f	Aspergillus sydowii	Aspergillus sydowii	C		FUNGUS		Aspergillus	ASP	46388006	Aspergillus sydowi	FALSE
mnl	-	Moraxella nonliquefaciens	Moraxella nonliquefaciens	C		NFR		Moraxella	MO-	46455003	Moraxella nonliquefaciens	FALSE
edu	+	Enterococcus durans	Enterococcus durans	C		CatNeg		Enterococcus	ENT	46464008	Enterococcus durans	FALSE
sor	-	Salmonella Oranienburg	Salmonella Oranienburg	C		EBC	GRC	Salmonella	SAL	46667007	Salmonella Oranienburg	FALSE
moa	b	Mycoplasma orale	Mycoplasma orale	C		MYCOP		Mycoplasma	MYP	46705005	Mycoplasma orale	FALSE
psm	-	Pasteurella stomatis	Pasteurella stomatis	C		FERM		Pasteurella	PAS	46827009	Pasteurella stomatis	FALSE
nro	f	Neotestudina rosatii	Neotestudina rosatii	C		FUNGUS		Neotestudina	NEO	47066009	Neotestudina rosatii	FALSE
phe	-	Providencia heimbachae	Providencia heimbachae	C		EBC		Providencia	PRV	47300009	Providencia heimbachae	FALSE
pad	a	Propionibacterium avidum	Propionibacterium avidum	C		NOSPORE		Propionibacterium	PRP	47473006	Propionibacterium avidum	FALSE
mat	-	CDC M-3	CDC M-3	O		NFR		Moraxella	MO-	47491001	Moraxella atlantae	FALSE
shu	f	Scolecobasidium humicola	Scolecobasidium humicola	C		FUNGUS		Scolecobasidium	SCB	47560005	Scolecobasidium humicola	FALSE
clu	f	Candida lusitaniae	Candida lusitaniae	C		FUNGUS		Candida	CAN	47608006	Candida lusitaniae	FALSE
ech	w	Echinococcus sp.	Echinococcus sp.	C		CESTODE		Echinococcus	ECH	47622006	Genus Echinococcus	FALSE
loa	w	Loa loa	Loa loa	C		NEMAT		Loa	LOA	47759003	Loa loa	FALSE
ctr	f	Candida tropicalis	Candida tropicalis	C		FUNGUS		Candida	CAN	47885008	Candida tropicalis	FALSE
tpi	f	Arxiozyma telluris	Arxiozyma telluris	C		FUNGUS		Arxiozyma	ARX	47931009	Torulopsis candida	FALSE
tor	f	Torulopsis sp.	Torulopsis sp.	C		FUNGUS		Torulopsis	TOR	47931009	Torulopsis candida	FALSE
sna	-	Salmonella Narashino	Salmonella Narashino	C		EBC	GRC	Salmonella	SAL	48054000	Salmonella Narashino	FALSE
mau	m	Mycobacterium aurum	Mycobacterium aurum	C		MYCO		Mycobacterium	MYC	48134004	Mycobacterium aurum	FALSE
afn	f	Aphanoascus fulvescens	Aphanoascus fulvescens	C		FUNGUS		Aphanoascus	APH	48136002	Aphanoascus fulvescens	FALSE
gca	f	Blastoschizomyces capitatus	Blastoschizomyces capitatus	C		FUNGUS		Blastoschizomyces	BSZ	48211001	Blastoschizomyces	FALSE
bsz	f	Blastoschizomyces sp.	Blastoschizomyces sp.	C		FUNGUS		Blastoschizomyces	BSZ	48211001	Blastoschizomyces	FALSE
eno	a	Eubacterium nodatum	Eubacterium nodatum	C		NOSPORE		Eubacterium	EUB	48215005	Eubacterium nodatum	FALSE
cll	f	Cryptococcus luteolus	Cryptococcus luteolus	C		FUNGUS		Cryptococcus	CRY	48261005	Cryptococcus luteolus	FALSE
mlu	+	Micrococcus luteus	Micrococcus luteus	C		CatPos		Micrococcus	MIC	48299003	Micrococcus luteus	FALSE
cli	a	Clostridium limosum	Clostridium limosum	C		SPORE		Clostridium	CLO	48305001	Clostridium limosum	FALSE
avl	f	Aspergillus versicolor	Aspergillus versicolor	C		FUNGUS		Aspergillus	ASP	48315007	Aspergillus versicolor	FALSE
bsu	-	Brucella suis (melitensis)	Brucella suis	C		GNCB		Brucella	BR-	48317004	Brucella suis	FALSE
csy	a	Clostridium symbiosum	Clostridium symbiosum	C		SPORE		Clostridium	CLO	48321006	Clostridium symbiosum	FALSE
lio	+	Listeria innocua	Listeria innocua	C		GPR		Listeria	LIS	48331004	Listeria innocua	FALSE
pyt	f	Pythium sp.	Pythium sp.	C		FUNGUS		Pythium	PYT	48484001	Pythium	FALSE
bcp	a	Bacteroides capillosus	Bacteroides capillosus	C		AGNR		Bacteroides	BAC	48496008	Bacteroides capillosus	FALSE
rah	-	Rahnella sp.	Rahnella sp.	C		EBC		Rahnella	RAH	48569008	Rahnella	FALSE
erh	+	Erysipelothrix rhusiopathiae	Erysipelothrix rhusiopathiae	C		GPR		Erysipelothrix	ERY	48666005	Erysipelothrix rhusiopathiae	FALSE
acs	w	Angiostrongylus cantonensis	Angiostrongylus cantonensis	C		NEMAT		Angiostrongylus	ANG	48708001	Angiostrongylus cantonensis	FALSE
nsi	-	Neisseria sicca	Neisseria sicca	C		GNC		Neisseria	NE-	49074002	Neisseria sicca	FALSE
han	f	Hansenula sp.	Hansenula sp.	C		check		Hansenula	HAN	49234004	Genus Hansenula	FALSE
shr	-	Salmonella Hadar	Salmonella Hadar	C		EBC	GRC	Salmonella	SAL	49491006	Salmonella Hadar	FALSE
eal	-	Erwinia amylovora	Erwinia amylovora	C		EBC		Erwinia	ERW	50097002	Erwinia amylovora	FALSE
sam	-	Salmonella Typhimurium	Salmonella Typhimurium	C	X	EBC	GRB	Salmonella	SAL	50136005	Salmonella Typhimurium	FALSE
104	-	Salmonella Typhimurium DT 104	Salmonella Typhimurium DT 104	C		EBC	GRB	Salmonella	SAL	50136005	Salmonella Typhimurium	FALSE
crc	+	Corynebacterium cystitidis	Corynebacterium cystitidis	C		COF		Corynebacterium	COR	50169005	Corynebacterium cystitidis	FALSE
eil	w	Echinostoma ilocanum	Echinostoma ilocanum	C		TREMA		Echinostoma	ECS	50212004	Echinostoma ilocanum	FALSE
pie	f	Piedraia sp.	Piedraia sp.	C		check		Piedraia	PIE	50411008	Piedraia	FALSE
pre	-	Proteus rettgeri	Proteus rettgeri	C		EBC		Proteus	PR-	50517009	Proteus	FALSE
ver	f	Verticillium sp.	Verticillium sp.	C		check		Verticillium	VER	50734003	Verticillium	FALSE
taj	f	Trichophyton ajelloi	Trichophyton ajelloi	C		FUNGUS		Trichophyton	TRY	50775005	Trichophyton ajelloi	FALSE
cid	a	Clostridium indolis	Clostridium indolis	C		SPORE		Clostridium	CLO	50884003	Clostridium indolis	FALSE
sad	+	Streptococcus acidominimus	Streptococcus acidominimus	C		SVI		Streptococcus	STR	51182006	Streptococcus acidominimus	FALSE
hfa	f	Histoplasma capsulatum var. farciminosum	Histoplasma capsulatum var. farciminosum	C		FUNGUS		Histoplasma	HIS	51208003	Histoplasma farciminosus	FALSE
mpy	f	Malassezia pachydermatis	Malassezia pachydermatis	C		FUNGUS		Malassezia	MAL	51257000	Malassezia pachydermatis	FALSE
maf	m	Mycobacterium africanum	Mycobacterium africanum	C		MYCO		Mycobacterium	MYC	51320008	Mycobacterium africanum	FALSE
mne	m	Mycobacterium neoaurum	Mycobacterium neoaurum	C		MYCO		Mycobacterium	MYC	51459000	Mycobacterium neoaurum	FALSE
cpv	w	Cryptosporidium parvum	Cryptosporidium parvum	C		COCCID		Cryptosporidium	COO	51504002	Cryptosporidium parvum	FALSE
fpl	-	Francisella tularensis biovar palearctica	Francisella tularensis biovar palearctica	C		GNCB		Francisella	FRA	51526001	Francisella tularensis	FALSE
hpi	-	Haemophilus parainfluenzae	Haemophilus parainfluenzae	C		GNCB		Haemophilus	HA-	51593004	Haemophilus parainfluenzae	FALSE
sml	-	CDC IIk-2	CDC IIk-2	O		NFR		Sphingobacterium	SPB	51595006	Sphingobacterium multivorum	FALSE
mum	w	Multiceps multiceps	Multiceps multiceps	C		check		Multiceps	MUL	51902008	Multiceps multiceps	FALSE
pex	f	Phaeococcomyces exophialae	Phaeococcomyces exophialae	C		check		Phaeococcomyces	PHC	51929003	Phaeococcomyces exophialae	FALSE
rru	f	Rhodotorula mucilaginosa	Rhodotorula mucilaginosa	C		FUNGUS		Rhodotorula	RHO	51976007	Rhodotorula	FALSE
rho	f	Rhodotorula sp.	Rhodotorula sp.	C		FUNGUS		Rhodotorula	RHO	51976007	Rhodotorula	FALSE
sri	-	Salmonella Rissen	Salmonella Rissen	C		EBC	GRC	Salmonella	SAL	51985007	Salmonella Rissen	FALSE
ssi	+	Staphylococcus simulans	Staphylococcus simulans	C		SCN		Staphylococcus	STA	52122005	Staphylococcus simulans	FALSE
cga	f	Cryptococcus gastricus	Cryptococcus gastricus	C		FUNGUS		Cryptococcus	CRY	52343001	Cryptococcus gastricus	FALSE
ovo	w	Onchocerca volvulus	Onchocerca volvulus	C		NEMAT		Onchocerca	ONC	52397001	Onchocerca volvulus	FALSE
lch	-	Legionella cherrii	Legionella cherrii	C		GNCB		Legionella	LEG	52462004	Legionella cherrii	FALSE
pae	-	Pseudomonas aeruginosa	Pseudomonas aeruginosa	C	X	NFR		Pseudomonas	PS-	52499004	Pseudomonas aeruginosa	FALSE
ecr	-	CDC HB-1	CDC HB-1	O		HAK		Eikenella	EIK	52591004	Eikenella corrodens	FALSE
sts	-	Salmonella Typhisuis	Salmonella typhisuis	C		EBC	GRC	Salmonella	SAL	52730003	Salmonella Typhisuis	FALSE
bvu	a	Bacteroides vulgatus	Bacteroides vulgatus	C		AGNR		Bacteroides	BAC	52798008	Bacteroides vulgatus	FALSE
eyu	a	Eubacterium yurii ss. yurii	Eubacterium yurii ss. yurii	C		NOSPORE		Eubacterium	EUB	52871003	Eubacterium yurii ss. yurii	FALSE
sua	a	Succinimonas amylolytica	Succinimonas amylolytica	C		check		Succinimonas	SUM	52964009	Succinimonas amylolytica	FALSE
evu	-	CDC Enteric Group 1	CDC Enteric Group 1	O		EBC		Escherichia	ESC	53013003	Escherichia vulneris	FALSE
smi	+	Streptococcus milleri	Streptococcus milleri	C		SVI		Streptococcus	STR	53056008	Streptococcus milleri	FALSE
msm	m	Mycobacterium smegmatis	Mycobacterium smegmatis	C		MYCO		Mycobacterium	MYC	53114006	Mycobacterium smegmatis	FALSE
ccl	a	Clostridium clostridiiforme	Clostridium clostridiiforme	C		SPORE		Clostridium	CLO	53220001	Clostridium clostridiiforme	FALSE
skl	+	Staphylococcus kloosii	Staphylococcus kloosii	C		SCN		Staphylococcus	STA	53227003	Staphylococcus kloosii	FALSE
ega	+	Enterococcus gallinarum	Enterococcus gallinarum	C		CatNeg		Enterococcus	ENT	53233007	Enterococcus gallinarum	FALSE
ena	w	Endolimax nana	Endolimax nana	C		AMEBA		Endolimax	END	53272006	Endolimax nana	FALSE
hna	w	Hymenolepis nana	Hymenolepis nana	C		CESTODE		Hymenolepis	HYM	53272006	Endolimax nana	FALSE
mvb	f	Microsporum vanbreuseghemii	Microsporum vanbreuseghemii	C		FUNGUS		Microsporum	MIS	53325009	Microsporum vanbreuseghemii	FALSE
cal	f	Candida albicans	Candida albicans	C	X	FUNGUS		Candida	CAN	53326005	Candida albicans	FALSE
bs-	+	Streptococcus, beta-haemolytic	Streptococcus, beta-haemolytic	C		BS-		Streptococcus	STR	53490009	Beta-hemolytic streptococcus	FALSE
sxa	+	Streptococcus, beta-haemolytic (not Group A)	Streptococcus, beta-haemolytic (not Group A)	C		BS-		Streptococcus	STR	53490009	Beta-hemolytic streptococcus	FALSE
cna	a	Clostridium novyi type a	Clostridium novyi type a	C		SPORE		Clostridium	CLO	53591005	Clostridium novyi, type A	FALSE
ibu	w	Iodamoeba buetschlii	Iodamoeba buetschlii	C		AMEBA		Iodamoeba	IOD	53605000	Iodamoeba bⁿtschlii	FALSE
sbl	-	Salmonella Blockley	Salmonella Blockley	C		EBC	GRC	Salmonella	SAL	53684004	Salmonella Blockley	FALSE
emk	-	Salmonella Emek	Salmonella Emek	C		EBC	GRC	Salmonella	SAL	53814008	Salmonella Emek	FALSE
agu	f	Arthroderma grubyi	Arthroderma grubyi	C		FUNGUS		Arthroderma	ARD	53815009	Arthroderma grubyi	FALSE
afv	f	Aspergillus flavipes	Aspergillus flavipes	C		FUNGUS		Aspergillus	ASP	54120001	Aspergillus flavipes	FALSE
nel	-	Neisseria elongata	Neisseria elongata	O		GNC		Neisseria	NE-	54127003	Neisseria elongata ss. elongata	FALSE
ska	-	Salmonella Kaapstad	Salmonella Kaapstad	C		EBC	GRB	Salmonella	SAL	54354005	Salmonella Kaapstad	FALSE
yep	-	Yersinia pestis	Yersinia pestis	C		EBC		Yersinia	YER	54365000	Yersinia pestis	FALSE
rrh	+	Rhodococcus rhodochrous	Rhodococcus rhodochrous	C		GPR		Rhodococcus	RHD	54379008	Rhodococcus rhodochrous	FALSE
mip	+	Micropolyspora sp.	Micropolyspora sp.	C		check		Micropolyspora	MIP	54473005	Micropolyspora	FALSE
nla	-	Neisseria lactamica	Neisseria lactamica	C		GNC		Neisseria	NE-	54915000	Neisseria lactamica	FALSE
mva	m	Mycobacterium vaccae	Mycobacterium vaccae	C		MYCO		Mycobacterium	MYC	54925005	Mycobacterium vaccae	FALSE
hhe	-	Haemophilus haemolyticus	Haemophilus haemolyticus	C		GNCB		Haemophilus	HA-	54950008	Haemophilus haemolyticus	FALSE
nca	-	Neisseria canis	Neisseria canis	C		GNC		Neisseria	NE-	54978009	Neisseria canis	FALSE
eve	w	Enterobius vermicularis	Enterobius vermicularis	C		NEMAT		Enterobius	ENB	55008000	Enterobius vermicularis	FALSE
liv	+	Listeria ivanovii	Listeria ivanovii	C		GPR		Listeria	LIS	55032007	Listeria ivanovii	FALSE
cpb	+	Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	C		COF		Corynebacterium	COR	55084001	Corynebacterium pseudotuberculosis	FALSE
lho	f	Lecythophora hoffmannii	Lecythophora hoffmannii	C		FUNGUS		Lecythophora	LET	55153000	Lecythophora hoffmannii	FALSE
bfr	a	Bacteroides fragilis	Bacteroides fragilis	C	X	AGNR		Bacteroides	BAC	55247009	Bacteroides fragilis	FALSE
bon	-	Salmonella Bonn	Salmonella Bonn	C		EBC	GRC	Salmonella	SAL	55290005	Salmonella Bonn	FALSE
shc	-	Shigella boydii	Shigella boydii	C	X	EBC		Shigella	SHI	55462008	Shigella boydii	FALSE
dxe	+	Streptococcus, Group D (non-enterococcal)	Streptococcus, Group D (non-enterococcal)	C				Streptococcus	STR	55547008	Streptococcus, group D	FALSE
mmt	a	Mitsuokella multiacidus	Mitsuokella multiacidus	C		AGNR		Mitsuokella	MIT	55553008	Mitsuokella multiacidus	FALSE
cml	-	Citrobacter amalonaticus	Citrobacter amalonaticus	C		EBC		Citrobacter	CI-	55744003	Citrobacter amalonaticus	FALSE
asn	a	Anaerobiospirillum succiniciproducens	Anaerobiospirillum succiniciproducens	C		AGNR		Anaerobiospirillum	ANP	55757006	Anaerobiospirillum	FALSE
tme	f	Trichophyton mentagrophytes	Trichophyton mentagrophytes	C		FUNGUS		Trichophyton	TRY	55766005	Trichophyton mentagrophytes	FALSE
xem	f	Xylohypha emmonsii	Xylohypha emmonsii	C		check		Xylohypha	XYL	55823009	Xylohypha emmonsii	FALSE
sru	-	Serratia rubidaea	Serratia rubidaea	C		EBC		Serratia	SE-	55825002	Serratia rubidaea	FALSE
vvu	-	CDC EF-3	CDC EF-3	O		FERM		Vibrio	VI-	55905000	Vibrio vulnificus	FALSE
tsc	f	Trichophyton schoenleinii	Trichophyton schoenleinii	C		FUNGUS		Trichophyton	TRY	56075008	Trichophyton schoenleinii	FALSE
sne	-	Salmonella Newport	Salmonella Newport	C		EBC	GRC	Salmonella	SAL	56077000	Salmonella Newport	FALSE
pml	w	Plasmodium malariae	Plasmodium malariae	C		SPOROZ		Plasmodium	PLA	56395006	Plasmodium malariae	FALSE
fun	f	Fungus	Fungus	C		FUNGUS		Fungus	FUN	56444005	Anthropophilic fungus	FALSE
scg	+	Staphylococcus chromogenes	Staphylococcus chromogenes	C		SCN		Staphylococcus	STA	56629004	Staphylococcus chromogenes	FALSE
edi	-	Enterobacter dissolvens	Enterobacter dissolvens	C		EBC		Enterobacter	EN-	56813009	Enterobacter dissolvens	FALSE
pg1	-	Pseudomonas sp. group 1	Pseudomonas sp. group 1	C		NFR		Pseudomonas	PS-	57032008	Pseudomonas	FALSE
spo	-	Salmonella Poona	Salmonella Poona	C		EBC	GRG	Salmonella	SAL	57101009	Salmonella Poona	FALSE
bep	+	Brevibacterium epidermidis	Brevibacterium epidermidis	C		COF		Brevibacterium	BRE	57301000	Brevibacterium epidermidis	FALSE
wnv	v	West Nile virus	West Nile virus	C		DNA				57311007	West Nile virus	FALSE
